the shawshank redemption,1994,1042780
the godfather,1972,732244
the godfather: part ii,1974,474530
the dark knight,2008,1017228
pulp fiction,1994,806225
"the good, the bad and the ugly",1966,313158
12 angry men,1957,255770
the lord of the rings: the return of the king,2003,738733
schindler's list,1993,528760
fight club,1999,790967
the lord of the rings: the fellowship of the ring,2001,762615
star wars: episode v - the empire strikes back,1980,503227
inception,2010,824220
one flew over the cuckoo's nest,1975,432714
seven samurai,1954,156974
goodfellas,1990,450877
star wars,1977,566261
forrest gump,1994,689640
the lord of the rings: the two towers,2002,662414
the matrix,1999,745881
city of god,2002,340319
once upon a time in the west,1968,141130
se7en,1995,606079
casablanca,1942,269377
the silence of the lambs,1991,509955
the usual suspects,1995,464729
it's a wonderful life,1946,174141
rear window,1954,205507
raiders of the lost ark,1981,424551
leon: the professional,1994,439913
psycho,1960,262361
sunset blvd.,1950,92001
city lights,1931,60590
american history x,1998,480244
the dark knight rises,2012,665421
apocalypse now,1979,299202
modern times,1936,77221
saving private ryan,1998,528457
spirited away,2001,237372
memento,2000,540206
terminator 2: judgment day,1991,463513
dr. strangelove or: how i learned to stop worrying and love the bomb,1964,240105
the intouchables,2011,219548
alien,1979,348021
life is beautiful,1997,228841
north by northwest,1959,149384
m,1931,66408
django unchained,2012,442720
paths of glory,1957,75835
back to the future,1985,418689
the pianist,2002,288135
double indemnity,1944,63663
the departed,2006,524710
citizen kane,1941,208626
the shining,1980,367566
vertigo,1958,156607
gladiator,2000,579575
the great dictator,1940,75445
the green mile,1999,432734
the lives of others,2006,162578
aliens,1986,314218
wall*e,2008,417763
american beauty,1999,537989
taxi driver,1976,310687
toy story 3,2010,312078
amelie,2001,340215
the prestige,2006,483091
cinema paradiso,1988,89704
a separation,2011,91591
lawrence of arabia,1962,125841
a clockwork orange,1971,344792
to kill a mockingbird,1962,138175
das boot,1981,114001
the treasure of the sierra madre,1948,53154
the lion king,1994,350722
the third man,1949,77785
reservoir dogs,1992,403139
once upon a time in america,1984,141327
requiem for a dream,2000,367244
bicycle thieves,1948,55191
witness for the prosecution,1957,34731
grave of the fireflies,1988,73249
eternal sunshine of the spotless mind,2004,425101
princess mononoke,1997,131072
star wars: episode vi - return of the jedi,1983,395867
braveheart,1995,464759
oldboy,2003,210960
all about eve,1950,55130
singin' in the rain,1952,96041
rashomon,1950,66417
metropolis,1927,72119
full metal jacket,1987,295213
monty python and the holy grail,1975,255749
some like it hot,1959,115619
the apartment,1960,68084
chinatown,1974,142247
amadeus,1984,176540
l.a. confidential,1997,285647
yojimbo,1961,47949
the sting,1973,112944
2001: a space odyssey,1968,264653
like stars on earth,2007,37068
unforgiven,1992,183272
raging bull,1980,154822
the bridge on the river kwai,1957,98246
mr. smith goes to washington,1939,52213
ikiru,1952,26249
the general,1926,33353
batman begins,2005,589647
indiana jones and the last crusade,1989,324321
the kid,1921,33965
on the waterfront,1954,66136
for a few dollars more,1965,91195
die hard,1988,382279
the great escape,1963,106313
snatch.,2000,379858
inglourious basterds,2009,489047
the seventh seal,1957,71730
wild strawberries,1957,40151
downfall,2004,163078
up,2009,365876
pan's labyrinth,2006,303207
toy story,1995,357548
3 idiots,2009,81170
the maltese falcon,1941,77514
rebecca,1940,58506
the elephant man,1980,106724
heat,1995,286756
ran,1985,52984
blade runner,1982,314745
scarface,1983,334159
rang de basanti,2006,27764
the gold rush,1925,39716
touch of evil,1958,50164
the avengers,2012,560869
diabolique,1955,25699
the big lebowski,1998,336607
gran torino,2008,355577
the hunt,2012,36892
it happened one night,1934,41326
cool hand luke,1967,81250
fargo,1996,274324
the deer hunter,1978,155781
warrior,2011,187633
the secret in their eyes,2009,71020
the grapes of wrath,1940,40457
my neighbor totoro,1988,85289
the best years of our lives,1946,26688
"lock, stock and two smoking barrels",1998,268084
strangers on a train,1951,61437
gone with the wind,1939,143183
good will hunting,1997,353718
high noon,1952,54370
casino,1995,208984
v for vendetta,2005,492806
no country for old men,2007,385143
sin city,2005,446479
butch cassidy and the sundance kid,1969,98801
the thing,1982,169151
trainspotting,1996,301815
notorious,1946,50392
the wizard of oz,1939,184935
hotel rwanda,2004,174588
platoon,1986,194706
the sixth sense,1999,459731
annie hall,1977,122220
jaws,1975,258239
the night of the hunter,1955,42562
into the wild,2007,254568
how to train your dragon,2010,243111
dial m for murder,1954,63064
kill bill: vol. 1,2003,456806
the big sleep,1946,45013
persona,1966,35184
the 400 blows,1959,44220
finding nemo,2003,395042
network,1976,67110
mary and max,2009,65611
life of brian,1979,176591
howl's moving castle,2004,117415
ben-hur,1959,102349
there will be blood,2007,243920
donnie darko,2001,386519
stand by me,1986,175814
million dollar baby,2004,294177
the king's speech,2010,280998
la strada,1954,30997
the killing,1956,42679
who's afraid of virginia woolf?,1966,36481
the princess bride,1987,200212
amores perros,2000,116768
the terminator,1984,365066
81/2,1963,52456
gandhi,1982,106661
stalker,1979,42101
groundhog day,1993,272224
fanny and alexander,1982,26330
incendies,2010,35747
dog day afternoon,1975,122066
the bourne ultimatum,2007,311249
twelve monkeys,1995,304909
a beautiful mind,2001,333130
the hustler,1961,41706
lagaan: once upon a time in india,2001,26204
anatomy of a murder,1959,30893
memories of murder,2003,32683
the man who shot liberty valance,1962,38200
stalag 17,1953,31956
